rownum,site,latitude,longitude,building_type,roof_design,ceiling,occ_confirmed_by_owner,signs,sighted_heard,occ_bin,score
244,A,redacted,redacted,zmodern,triangle,Y,Y,Y,N,1,5
245,A,redacted,redacted,zmodern,triangle,NA,Y,Y,N,1,5
246,A,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
247,A,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
248,A,redacted,redacted,zmodern,triangle,Y,N,Y,NA,1,5
249,A,redacted,redacted,zmodern,triangle,Y,N,Y,NA,1,5
250,A,redacted,redacted,zmodern,triangle,NA,Y,Y,Y,1,5
251,A,redacted,redacted,zmodern,triangle,Y,N,Y,N,1,5
258,A,redacted,redacted,zmodern,other,N,N,N,N,0,1
259,A,redacted,redacted,zmodern,other,N,N,N,N,0,1
263,A,redacted,redacted,zmodern,triangle,Y,N,N,N,0,3
270,A,redacted,redacted,zmodern,other,N,N,N,N,0,1
272,A,redacted,redacted,zmodern,triangle,N,N,NA,NA,0,2
273,A,redacted,redacted,zmodern,other,N,N,NA,NA,0,1
275,A,redacted,redacted,other,triangle,N,N,NA,NA,0,1
279,A,redacted,redacted,zmodern,other,N,N,NA,NA,0,2
252,A,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
253,A,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
254,A,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
255,A,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
256,A,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
257,A,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
281,A,redacted,redacted,NA,NA,NA,NA,NA,NA,NA,1
1,B,redacted,redacted,zmodern,triangle,Y,Y,Y,Y,1,5
3,B,redacted,redacted,zmodern,triangle,NA,Y,N,N,1,4
4,B,redacted,redacted,other,triangle,N,Y,Y,N,1,5
6,B,redacted,redacted,zmodern,triangle,Y,Y,N,N,1,5
7,B,redacted,redacted,other,other,N,Y,Y,Y,1,5
8,B,redacted,redacted,other,other,N,NA,Y,N,0,0
9,B,redacted,redacted,other,triangle,Y,Y,Y,N,1,5
10,B,redacted,redacted,zmodern,triangle,Y,Y,Y,N,0,0
11,B,redacted,redacted,zmodern,triangle,NA,Y,Y,N,1,5
12,B,redacted,redacted,zmodern,triangle,N,Y,Y,Y,1,5
13,B,redacted,redacted,zmodern,triangle,Y,Y,Y,Y,1,5
14,B,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
15,B,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
16,B,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
17,B,redacted,redacted,zmodern,triangle,Y,Y,Y,N,1,5
18,B,redacted,redacted,zmodern,triangle,NA,NA,N,N,0,2
19,B,redacted,redacted,zmodern,triangle,NA,Y,Y,Y,1,5
20,B,redacted,redacted,zmodern,triangle,NA,Y,Y,Y,1,5
21,B,redacted,redacted,zmodern,triangle,NA,NA,Y,Y,1,5
22,B,redacted,redacted,zmodern,triangle,Y,Y,Y,N,1,5
23,B,redacted,redacted,zmodern,other,N,Y,Y,N,1,5
24,B,redacted,redacted,zmodern,triangle,N,Y,Y,Y,1,5
25,B,redacted,redacted,zmodern,triangle,NA,Y,N,N,1,4
26,B,redacted,redacted,zmodern,triangle,NA,N,N,N,0,2
27,B,redacted,redacted,zmodern,triangle,Y,N,Y,N,1,5
28,B,redacted,redacted,zmodern,triangle,Y,Y,Y,N,1,5
29,B,redacted,redacted,zmodern,triangle,Y,NA,Y,N,1,5
