site,n_tot,n_occ,p_occ,building_type,n_bldg,p_bldg,roof_design,n_roof,p_roof,meanPW,meanPW_occ
A,16,8,50,modern,15,93.75,triangle,11,68.75,0.002045378,0.001780092
B,160,24,15,modern,131,81.875,triangle,82,51.25,0.004064697,0.004081681
C,87,17,19.54022989,modern,53,60.91954023,triangle,43,49.42528736,0.004830815,0.003974722
D,36,7,19.44444444,modern,34,94.44444444,triangle,19,52.77777778,0.003410416,0.002679901
E,30,6,20,modern,4,13.33333333,triangle,22,73.33333333,0.004551997,0.004593581
F,102,11,10.78431373,modern,102,100,triangle,102,100,0.000955525,0.001030876
G,51,3,5.882352941,modern,13,25.49019608,triangle,29,56.8627451,0.004146496,0.004447307
H,88,10,11.36363636,modern,21,23.86363636,triangle,54,61.36363636,0.003985955,0.00311436
I,69,3,4.347826087,modern,19,27.53623188,triangle,21,30.43478261,0.003495853,0.002439551
J,73,4,5.479452055,modern,7,9.589041096,triangle,38,52.05479452,0.004286754,0.003485348
