site,n_tot,n_occ,p_occ,building_type,n_bldg,p_bldg,roof_design,n_roof,p_roof,meanPW,meanPW_occ
A,23,8,34.7826087,modern,20,86.95652174,triangle,13,56.52173913,0.002045378,0.001780092
B,213,24,11.26760563,modern,181,84.97652582,triangle,108,50.70422535,0.004064697,0.004081681
C,103,14,13.59223301,modern,67,65.04854369,triangle,57,55.33980583,0.004830815,0.003974722
D,36,7,19.44444444,modern,34,94.44444444,triangle,19,52.77777778,0.003410416,0.002679901
E,30,4,13.33333333,modern,4,13.33333333,triangle,22,73.33333333,0.004551997,0.004593581
F,102,11,10.78431373,modern,102,100,triangle,102,100,0.000955525,0.001030876
G,56,2,3.571428571,modern,14,25,triangle,32,57.14285714,0.004146496,0.004447307
H,90,8,8.888888889,modern,22,24.44444444,triangle,54,60,0.003985955,0.00311436
I,77,2,2.597402597,modern,24,31.16883117,triangle,24,31.16883117,0.003495853,0.002439551
J,76,4,5.263157895,modern,8,10.52631579,triangle,39,51.31578947,0.004286754,0.003485348
