rownum,site,latitude,longitude,building_type,roof_design,ceiling,occ_confirmed_by_owner,signs,sighted_heard,occ_bin,score
244,A,redacted,redacted,zmodern,triangle,Y,Y,Y,N,1,5
245,A,redacted,redacted,zmodern,triangle,NA,Y,Y,N,1,5
246,A,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
247,A,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
248,A,redacted,redacted,zmodern,triangle,Y,N,Y,NA,1,5
249,A,redacted,redacted,zmodern,triangle,Y,N,Y,NA,1,5
250,A,redacted,redacted,zmodern,triangle,NA,Y,Y,Y,1,5
251,A,redacted,redacted,zmodern,triangle,Y,N,Y,N,1,5
252,A,redacted,redacted,zmodern,other,N,NA,NA,NA,NA,1
253,A,redacted,redacted,other,triangle,N,NA,NA,NA,NA,1
254,A,redacted,redacted,zmodern,other,N,NA,NA,NA,NA,1
255,A,redacted,redacted,zmodern,other,N,NA,NA,NA,NA,1
256,A,redacted,redacted,zmodern,other,N,NA,NA,NA,NA,1
257,A,redacted,redacted,other,triangle,N,NA,NA,NA,NA,1
258,A,redacted,redacted,zmodern,other,N,N,N,N,0,1
259,A,redacted,redacted,zmodern,other,N,N,N,N,0,1
260,A,redacted,redacted,other,triangle,N,N,N,N,0,0
261,A,redacted,redacted,other,other,N,N,NA,NA,0,0
262,A,redacted,redacted,other,triangle,N,N,N,N,0,0
263,A,redacted,redacted,zmodern,triangle,Y,N,N,N,0,3
264,A,redacted,redacted,other,triangle,N,N,NA,NA,0,0
265,A,redacted,redacted,other,other,N,N,N,N,0,0
266,A,redacted,redacted,other,other,N,N,NA,NA,0,0
267,A,redacted,redacted,other,other,N,N,NA,NA,0,0
268,A,redacted,redacted,other,other,N,N,NA,NA,0,0
269,A,redacted,redacted,other,other,N,N,NA,NA,0,0
270,A,redacted,redacted,zmodern,other,N,N,N,N,0,1
271,A,redacted,redacted,other,other,N,N,N,N,0,0
272,A,redacted,redacted,zmodern,triangle,N,N,NA,NA,0,2
273,A,redacted,redacted,zmodern,other,N,N,NA,NA,0,1
274,A,redacted,redacted,other,other,N,N,NA,NA,0,0
275,A,redacted,redacted,other,triangle,N,N,NA,NA,0,1
276,A,redacted,redacted,other,other,N,NA,N,N,0,0
277,A,redacted,redacted,other,other,N,NA,N,N,0,0
278,A,redacted,redacted,other,other,N,N,NA,NA,0,0
279,A,redacted,redacted,zmodern,other,N,N,NA,NA,0,2
280,A,redacted,redacted,other,other,N,N,NA,NA,0,0
281,A,redacted,redacted,zmodern,other,N,NA,NA,NA,NA,1
1,B,redacted,redacted,zmodern,triangle,Y,Y,Y,Y,1,5
3,B,redacted,redacted,zmodern,triangle,NA,Y,N,N,1,4
4,B,redacted,redacted,other,triangle,N,Y,Y,N,1,5
6,B,redacted,redacted,zmodern,triangle,Y,Y,N,N,1,5
7,B,redacted,redacted,other,other,N,Y,Y,Y,1,5
8,B,redacted,redacted,other,other,N,NA,Y,N,0,0
9,B,redacted,redacted,other,triangle,Y,Y,Y,N,1,5
10,B,redacted,redacted,zmodern,triangle,Y,Y,Y,N,0,0
11,B,redacted,redacted,zmodern,triangle,NA,Y,Y,N,1,5
12,B,redacted,redacted,zmodern,triangle,N,Y,Y,Y,1,5
13,B,redacted,redacted,zmodern,triangle,Y,Y,Y,Y,1,5
14,B,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
15,B,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
16,B,redacted,redacted,zmodern,triangle,N,Y,Y,N,1,5
