site,n_tot,n_occ,p_occ,building_type,n_bldg,p_bldg,roof_design,n_roof,p_roof,meanPW,meanPW_occ
A,31,8,25.80645161,modern,20,52.63157895,triangle,16,42.10526316,0.002026911,0.001780092
B,215,24,11.1627907,modern,181,67.53731343,triangle,109,40.67164179,0.004134656,0.004081681
C,126,17,13.49206349,modern,67,46.85314685,triangle,60,41.95804196,0.004654032,0.003974722
D,58,7,12.06896552,modern,34,58.62068966,triangle,19,32.75862069,0.003642797,0.002679901
E,44,6,13.63636364,modern,4,9.090909091,triangle,22,50,0.004503613,0.004593581
F,102,11,10.78431373,modern,102,100,triangle,102,100,0.000955525,0.001030876
G,78,3,3.846153846,modern,14,16.86746988,triangle,34,40.96385542,0.004076576,0.004447307
H,143,10,6.993006993,modern,22,15.17241379,triangle,57,39.31034483,0.003982661,0.00311436
I,106,3,2.830188679,modern,24,21.05263158,triangle,25,21.92982456,0.003491801,0.002439551
J,111,4,3.603603604,modern,8,7.01754386,triangle,40,35.0877193,0.004344512,0.003485348
