site,n_tot,n_occ,p_occ,building_type,n_bldg,p_bldg,roof_design,n_roof,p_roof,meanPW,meanPW_occ
A,38,8,21.05263158,modern,20,52.63157895,triangle,16,42.105,0.002026911,0.001780092
B,268,24,8.955223881,modern,181,67.53731343,triangle,109,40.672,0.004134656,0.004081681
C,143,14,9.79020979,modern,67,46.85314685,triangle,60,41.958,0.004654032,0.003974722
D,58,7,12.06896552,modern,34,58.62068966,triangle,19,32.759,0.003642797,0.002679901
E,44,4,9.090909091,modern,4,9.090909091,triangle,22,50,0.004503613,0.004593581
F,102,11,10.78431373,modern,102,100,triangle,102,100,0.000955525,0.001030876
G,83,2,2.409638554,modern,14,16.86746988,triangle,34,40.964,0.004076576,0.004447307
H,145,8,5.517241379,modern,22,15.17241379,triangle,57,39.31,0.003982661,0.00311436
I,114,2,1.754385965,modern,24,21.05263158,triangle,25,21.93,0.003491801,0.002439551
J,114,4,3.50877193,modern,8,7.01754386,triangle,40,35.088,0.004344512,0.003485348
